,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
13766,jäljitellä,copy someones acts,copy someones acts,jäljitellä,,,,,
13767,jäljittää,track,track,jäljittää,,,,,
13768,jämähtää,become stuck,become stuck,jämähtää,,,,,
13769,jämäköityä,become more robust,become more robust,jämäköityä,,,,,
13770,jänistää,chicken,chicken,jänistää,,,,,
13771,jännittyä,tense,tense,jännittyä,,,,,
13772,jännittää,tense,tense,jännittää,,,,,
13773,jännätä,feel excited for,feel excited for,jännätä,,,,,
13774,jäntevöidä,increase the flexibility of,increase the flexibility of,jäntevöidä,,,,,
13775,jäntevöittää,do,do,jäntevöittää,,,,,
13776,jäntevöityä,do,do,jäntevöityä,,,,,
13777,jäpittää,sit at attention,sit at attention,jäpittää,,,,,
13778,järeytyä,become sturdy,become sturdy,järeytyä,,,,,
13779,järistä,quake,quake,järistä,,,,,
13780,järisyttää,shock,shock,järisyttää,,,,,
13781,järjestellä,arrange,arrange,järjestellä,,,,,
13782,järjestelmällistyttää,cause to systemize,cause to systemize,järjestelmällistyttää,,,,,
13783,järjestelmällistää,systematize,systematize,järjestelmällistää,,,,,
13784,järjestyä,become,become,järjestyä,,,,,
13785,järjestäytyä,get organized,get organized,järjestäytyä,,,,,
13786,järjestää,arrange,arrange,järjestää,,,,,
13787,järkeillä,reason,reason,järkeillä,,,,,
13788,järkeistyä,be rationalized,be rationalized,järkeistyä,,,,,
13789,järkeistää,rationalize,rationalize,järkeistää,,,,,
13790,järkevöityä,become more sensible,become more sensible,järkevöityä,,,,,
13791,järkiinnyttää,english,english,järkiinnyttää,,,,,
13792,järkiintyä,come to senses,come to senses,järkiintyä,,,,,
13793,järkiperäistyä,english,english,järkiperäistyä,,,,,
13794,järkiperäistää,rationalize,rationalize,järkiperäistää,,,,,
13795,järkkyä,be destabilised,be destabilised,järkkyä,,,,,
13796,järkyttyä,become distraught,become distraught,järkyttyä,,,,,
13797,järkyttää,shake,shake,järkyttää,,,,,
13798,järkähtää,fluster,fluster,järkähtää,,,,,
13799,järkätä,organize,organize,järkätä,,,,,
13800,järsiä,gnaw,gnaw,järsiä,,,,,
13801,järähdellä,tremble,tremble,järähdellä,,,,,
13802,järähtää,english,english,järähtää,,,,,
13803,järäyttää,english,english,järäyttää,,,,,
13804,jäsennellä,analyze,analyze,jäsennellä,,,,,
13805,jäsentyä,english,english,jäsentyä,,,,,
13806,jäsentää,parse,parse,jäsentää,,,,,
13807,jättäytyä,resign,resign,jättäytyä,,,,,
13808,jättää arpi,scar,scar,jättää arpi,,,,,
13809,jättää pulaan,leave someone in the lurch,leave someone in the lurch,jättää pulaan,,,,,
13810,jättää,leave,leave,jättää,,,,,
13811,jätättää,lose,lose,jätättää,,,,,
13812,jäykentyä,stiffen,stiffen,jäykentyä,,,,,
13813,jäykentää,stiffen,stiffen,jäykentää,,,,,
13814,jäyketä,stiffen,stiffen,jäyketä,,,,,
13815,jäykistellä,stand on ceremony,stand on ceremony,jäykistellä,,,,,
13816,jäykistyä,stiffen,stiffen,jäykistyä,,,,,
13817,jäykistää,stiffen,stiffen,jäykistää,,,,,
13818,jäystää,english,english,jäystää,,,,,
13819,jäytää,gnaw,gnaw,jäytää,,,,,
13820,jäädyttää,freeze,freeze,jäädyttää,,,,,
13821,jäädä jälkeen,lag,lag,jäädä jälkeen,,,,,
13822,jäädä kiinni,get,get,jäädä kiinni,,,,,
13823,jäädä,remain,remain,jäädä,,,,,
13824,jäähdytellä,cool,cool,jäähdytellä,,,,,
13825,jäähdyttää,cool,cool,jäähdyttää,,,,,
13826,jäähtyä,cool,cool,jäähtyä,,,,,
13827,jääkiekkoilla,play ice hockey,play ice hockey,jääkiekkoilla,,,,,
13828,jäätiköityä,glaciate,glaciate,jäätiköityä,,,,,
13829,jäätyä,freeze,freeze,jäätyä,,,,,
13830,jäätää,freeze up,freeze up,jäätää,,,,,
13831,jäävätä,recuse,recuse,jäävätä,,,,,
13832,jököttää,stay firmly in one place,stay firmly in one place,jököttää,,,,,
13833,jöröttää,sulk,sulk,jöröttää,,,,,
13834,kaadattaa,english,english,kaadattaa,,,,,
14003,kaapaista,english,english,kaapaista,,,,,
14088,kaaputtaa,scrape,scrape,kaaputtaa,,,,,
14117,kaarittaa,rib,rib,kaarittaa,,,,,
14342,kaatuilla,fall,fall,kaatuilla,,,,,
14371,kaavamaistaa,schematize,schematize,kaavamaistaa,,,,,
14372,kaavata,invest,invest,kaavata,,,,,
14373,kaaviloida,roll using a rolling pin,roll using a rolling pin,kaaviloida,,,,,
14374,kaavioida,schematize,schematize,kaavioida,,,,,
14543,kahahtaa,rustle,rustle,kahahtaa,,,,,
14544,kahakoida,scuffle,scuffle,kahakoida,,,,,
14601,kahinoida,riot,riot,kahinoida,,,,,
14630,kahisuttaa,make,make,kahisuttaa,,,,,
14631,kahlailla,paddle,paddle,kahlailla,,,,,
14716,kahmaista,grab,grab,kahmaista,,,,,
14717,kahmia,hoard,hoard,kahmia,,,,,
14718,kahnata,rub,rub,kahnata,,,,,
14719,kahvittaa,serve coffee as hospitality,serve coffee as hospitality,kahvittaa,,,,,
14720,kahvituttaa,feel like wanting coffee,feel like wanting coffee,kahvituttaa,,,,,
14749,kaihota,long,long,kaihota,,,,,
14778,kaikertaa,moan,moan,kaikertaa,,,,,
14891,kainostuttaa,feel shy,feel shy,kainostuttaa,,,,,
14976,kaiuttaa,make something reverberateecho,make something reverberateecho,kaiuttaa,,,,,
15033,kaivattaa,have something dug,have something dug,kaivattaa,,,,,
15034,kaivauttaa,have something dug,have something dug,kaivauttaa,,,,,
15147,kajahduttaa,english,english,kajahduttaa,,,,,
15176,kajakoida,kayak,kayak,kajakoida,,,,,
15177,kajastaa,dawn,dawn,kajastaa,,,,,
15206,kajauttaa,sound,sound,kajauttaa,,,,,
15207,kajentaa,cause to resonate,cause to resonate,kajentaa,,,,,
15236,kajottaa,english,english,kajottaa,,,,,
15237,kakaista,english,english,kakaista,,,,,
15266,kakattaa,have the urge to defecate,have the urge to defecate,kakattaa,,,,,
15267,kakistaa,cough up,cough up,kakistaa,,,,,
15268,kakistella,clear throat,clear throat,kakistella,,,,,
15325,kaksikielistyä,become bilingual,become bilingual,kaksikielistyä,,,,,
15382,kaksintaa,double,double,kaksintaa,,,,,
15383,kaksoispysäköidä,do,do,kaksoispysäköidä,,,,,
15440,kalanteroida,calender,calender,kalanteroida,,,,,
15609,kalistella,rattle,rattle,kalistella,,,,,
15666,kalkattaa,english,english,kalkattaa,,,,,
15667,kalkita,calcify,calcify,kalkita,,,,,
15724,kalkuttaa,do,do,kalkuttaa,,,,,
15725,kalkyloida,calculate,calculate,kalkyloida,,,,,
15782,kalmetoida,administrate bcg,administrate bcg,kalmetoida,,,,,
15783,kalppia,leave,leave,kalppia,,,,,
15784,kalskahtaa,clang,clang,kalskahtaa,,,,,
15785,kaltaistaa,english,english,kaltaistaa,,,,,
15814,kaltevoida,english,english,kaltevoida,,,,,
15815,kalustaa,furnish,furnish,kalustaa,,,,,
15872,kalventaa,make,make,kalventaa,,,,,
15901,kalvia,ream,ream,kalvia,,,,,
16042,kammoksuttaa,feel,feel,kammoksuttaa,,,,,
16071,kammottaa,horrify,horrify,kammottaa,,,,,
16128,kampauttaa,have something combed,have something combed,kampauttaa,,,,,
16213,kanalisoida,canalize,canalize,kanalisoida,,,,,
16242,kanavoida,channel,channel,kanavoida,,,,,
16271,kandeerata,candy,candy,kandeerata,,,,,
16272,kangastaa,loom,loom,kangastaa,,,,,
16357,kangistaa,stiffen,stiffen,kangistaa,,,,,
16386,kangistuttaa,cause to stiffen,cause to stiffen,kangistuttaa,,,,,
16415,kankeuttaa,english,english,kankeuttaa,,,,,
16416,kannatella,support,support,kannatella,,,,,
16445,kanneksia,carry,carry,kanneksia,,,,,
16586,kanonisoida,canonize,canonize,kanonisoida,,,,,
16615,kanonistaa,canonize,canonize,kanonistaa,,,,,
16644,kansainvälistyä,become international,become international,kansainvälistyä,,,,,
16645,kansainvälistää,do,do,kansainvälistää,,,,,
16702,kansanvaltaistaa,democratize,democratize,kansanvaltaistaa,,,,,
16731,kansioida,file,file,kansioida,,,,,
16732,kansittaa,english,english,kansittaa,,,,,
16873,kanyloida,cannulate,cannulate,kanyloida,,,,,
16874,kapaista,english,english,kapaista,,,,,
16903,kapeuttaa,do,do,kapeuttaa,,,,,
16988,kapitaloida,do,do,kapitaloida,,,,,
16989,kapiteloida,english,english,kapiteloida,,,,,
16990,kaplastaa,equip a sleigh with a,equip a sleigh with a,kaplastaa,,,,,
16991,kapsahtaa,english,english,kapsahtaa,,,,,
16992,kapsehtia,english,english,kapsehtia,,,,,
16993,kapseloida,encapsulate,encapsulate,kapseloida,,,,,
17022,kapuloida,english,english,kapuloida,,,,,
17023,karahtaa,english,english,karahtaa,,,,,
17024,karahteerata,call,call,karahteerata,,,,,
17081,karakterisoida,characterize,characterize,karakterisoida,,,,,
17138,karehtia,ripple,ripple,karehtia,,,,,
17139,karhentaa,roughen,roughen,karhentaa,,,,,
17168,karheta,become more rough,become more rough,karheta,,,,,
17169,karheuttaa,english,english,karheuttaa,,,,,
17198,karhita,harrow,harrow,karhita,,,,,
17339,karisuttaa,english,english,karisuttaa,,,,,
17368,karitsoittaa,english,english,karitsoittaa,,,,,
17369,kariuttaa,thwart,thwart,kariuttaa,,,,,
17454,karjeta,english,english,karjeta,,,,,
17483,karkailla,keep escaping,keep escaping,karkailla,,,,,
17540,karkeistaa,english,english,karkeistaa,,,,,
17541,karkeloida,frolic,frolic,karkeloida,,,,,
17542,karkeuttaa,english,english,karkeuttaa,,,,,
17571,karkota,do,do,karkota,,,,,
17600,karmaista,english,english,karmaista,,,,,
17629,karnevalisoida,english,english,karnevalisoida,,,,,
17798,karsinoida,pen,pen,karsinoida,,,,,
17855,karstaantua,become covered with soot,become covered with soot,karstaantua,,,,,
17884,karstautua,english,english,karstautua,,,,,
18277,kaseerata,english,english,kaseerata,,,,,
18278,kasetoida,english,english,kasetoida,,,,,
18335,kastattaa,have something moistened,have something moistened,kastattaa,,,,,
18448,kasuta,grow,grow,kasuta,,,,,
18533,kasvittaa,select and furnish with suitable,select and furnish with suitable,kasvittaa,,,,,
18562,katalysoida,do,do,katalysoida,,,,,
18563,kategorisoida,do,do,kategorisoida,,,,,
18648,katkeroida,embitter,embitter,katkeroida,,,,,
18649,katkeroittaa,embitter,embitter,katkeroittaa,,,,,
18790,katsastuttaa,have inspected,have inspected,katsastuttaa,,,,,
18819,katsoa vierestä,stand back,stand back,katsoa vierestä,,,,,
18904,kauhduttaa,fade,fade,kauhduttaa,,,,,
18905,kauhistaa,horrify,horrify,kauhistaa,,,,,
18906,kauhistella,bemoan,bemoan,kauhistella,,,,,
18935,kauhistuttaa,horrify,horrify,kauhistuttaa,,,,,
18992,kaulata,girdle a tree,girdle a tree,kaulata,,,,,
19021,kaulita,roll dough,roll dough,kaulita,,,,,
19218,kaupita,peddle,peddle,kaupita,,,,,
19219,kaupungistaa,urbanize,urbanize,kaupungistaa,,,,,
19276,kaupunkimaistaa,urbanize,urbanize,kaupunkimaistaa,,,,,
19445,kaveta,narrow,narrow,kaveta,,,,,
19474,kehaista,praise,praise,kehaista,,,,,
19503,kehitellä,conceive,conceive,kehitellä,,,,,
19504,kehittyä,develop,develop,kehittyä,,,,,
19505,kehittää,unravel,unravel,kehittää,,,,,
19506,kehityttää,english,english,kehityttää,,,,,
19507,kehiä,english,english,kehiä,,,,,
19508,kehjetä,english,english,kehjetä,,,,,
19509,kehkeytyä,become,become,kehkeytyä,,,,,
19510,kehnontaa,worsen,worsen,kehnontaa,,,,,
19567,kehnätä,rub,rub,kehnätä,,,,,
19596,kehruuttaa,do,do,kehruuttaa,,,,,
19597,kehrätä,spin,spin,kehrätä,,,,,
19598,kehräyttää,have spun,have spun,kehräyttää,,,,,
19627,kehystää,frame,frame,kehystää,,,,,
19628,keihästää,spear,spear,keihästää,,,,,
19685,keikaroida,dress,dress,keikaroida,,,,,
19686,keikauttaa,english,english,keikauttaa,,,,,
19687,keikistää,bend,bend,keikistää,,,,,
19744,keikutella,rock,rock,keikutella,,,,,
19745,keikuttaa,rock,rock,keikuttaa,,,,,
19802,keinahtaa,english,english,keinahtaa,,,,,
19803,keinauttaa,english,english,keinauttaa,,,,,
19860,keinuttaa,rock,rock,keinuttaa,,,,,
19861,keittyä,english,english,keittyä,,,,,
19862,keittää,boil,boil,keittää,,,,,
19863,keitättää,english,english,keitättää,,,,,
19892,kekkaloida,strut stuff,strut stuff,kekkaloida,,,,,
19921,keksaista,english,english,keksaista,,,,,
19922,keksiä,invent,invent,keksiä,,,,,
20007,keljuttaa,be annoyed,be annoyed,keljuttaa,,,,,
20008,kelkkailla,do,do,kelkkailla,,,,,
20009,kellahduttaa,english,english,kellahduttaa,,,,,
20066,kellastaa,turn yellow,turn yellow,kellastaa,,,,,
20095,kellastuttaa,make yellow,make yellow,kellastuttaa,,,,,
20096,kellata,give something a yellow color,give something a yellow color,kellata,,,,,
20125,kellertyä,yellow,yellow,kellertyä,,,,,
20126,kellertää,make yellowish,make yellowish,kellertää,,,,,
20127,kellistyä,english,english,kellistyä,,,,,
20128,kellistää,english,english,kellistää,,,,,
20129,kelliä,loll,loll,kelliä,,,,,
20214,kelmentyä,turn bleak,turn bleak,kelmentyä,,,,,
20215,kelmentää,make more pale,make more pale,kelmentää,,,,,
20216,kelmetä,turn bleak,turn bleak,kelmetä,,,,,
20329,kengittää,shoe,shoe,kengittää,,,,,
20330,kenkuttaa,annoy,annoy,kenkuttaa,,,,,
20331,kenottaa,english,english,kenottaa,,,,,
20360,keretä,make it,make it,keretä,,,,,
20361,keritä,make it,make it,keritä,,,,,
20362,keriytyä,english,english,keriytyä,,,,,
20363,keriä,reel,reel,keriä,,,,,
20364,kerjetä,do,do,kerjetä,,,,,
20365,kerjätä,beg,beg,kerjätä,,,,,
20450,kerrostaa,overlay,overlay,kerrostaa,,,,,
20479,kerryttää,cause to accumulate,cause to accumulate,kerryttää,,,,,
20508,kerskata,brag,brag,kerskata,,,,,
20565,kertaistaa,do,do,kertaistaa,,,,,
20566,kertaistua,do,do,kertaistua,,,,,
20623,kertoilla,chat,chat,kertoilla,,,,,
20624,kertyä,accumulate,accumulate,kertyä,,,,,
20625,keräillä,collect,collect,keräillä,,,,,
20626,kerätä,collect,collect,kerätä,,,,,
20627,keräytyä,accumulate,accumulate,keräytyä,,,,,
20628,kerääntyä,accumulate,accumulate,kerääntyä,,,,,
20629,kesannoida,make a field setaside,make a field setaside,kesannoida,,,,,
20658,kesiä,do,do,kesiä,,,,,
20659,keskeyttää,interrupt,interrupt,keskeyttää,,,,,
20660,keskeytyä,be interrupted,be interrupted,keskeytyä,,,,,
20661,keski-ikäistyä,become middleaged,become middleaged,keski-ikäistyä,,,,,
20690,keskittyä,concentrate on,concentrate on,keskittyä,,,,,
20691,keskittää,focus,focus,keskittää,,,,,
20748,kessuttaa,smoke,smoke,kessuttaa,,,,,
20749,kestittää,do,do,kestittää,,,,,
20750,kestitä,entertain,entertain,kestitä,,,,,
20751,kestävöidä,make more durable,make more durable,kestävöidä,,,,,
20752,kestää,cope,cope,kestää,,,,,
20753,kesyttyä,do,do,kesyttyä,,,,,
20754,kesyttää,tame,tame,kesyttää,,,,,
20755,kesyyntyä,tame,tame,kesyyntyä,,,,,
20756,ketjuttaa,concatenate,concatenate,ketjuttaa,,,,,
20813,ketlata,loop,loop,ketlata,,,,,
20842,keulia,pop a wheelie,pop a wheelie,keulia,,,,,
20843,keventyä,lighten,lighten,keventyä,,,,,
20844,keventää,lighten,lighten,keventää,,,,,
20845,kevetä,become more light in weight,become more light in weight,kevetä,,,,,
20846,keväistää,vernalize,vernalize,keväistää,,,,,
20903,kiehahtaa,boil,boil,kiehahtaa,,,,,
20932,kiehnätä,do,do,kiehnätä,,,,,
21017,kiehätä,english,english,kiehätä,,,,,
21018,kiekaista,crow,crow,kiekaista,,,,,
21019,kiekkoilla,play ice hockey,play ice hockey,kiekkoilla,,,,,
21048,kielentää,do,do,kielentää,,,,,
21049,kieliä,indicate,indicate,kieliä,,,,,
21050,kielteistyä,english,english,kielteistyä,,,,,
21051,kieltäytyä,refuse,refuse,kieltäytyä,,,,,
21052,kieltää,forbid,forbid,kieltää,,,,,
21053,kiemurrella,squirm,squirm,kiemurrella,,,,,
21054,kiemurtaa,do,do,kiemurtaa,,,,,
21083,kiepauttaa,english,english,kiepauttaa,,,,,
21140,kiepsauttaa,english,english,kiepsauttaa,,,,,
21169,kierittää,roll,roll,kierittää,,,,,
21170,kieriä,roll,roll,kieriä,,,,,
21199,kierouttaa,english,english,kierouttaa,,,,,
21228,kierrellä,walk,walk,kierrellä,,,,,
21229,kierrättää,take,take,kierrättää,,,,,
21230,kierteittää,tap,tap,kierteittää,,,,,
21231,kiertyä,spin,spin,kiertyä,,,,,
21232,kiertää,turn,turn,kiertää,,,,,
21233,kierähtää,spin,spin,kierähtää,,,,,
21234,kieräyttää,english,english,kieräyttää,,,,,
21347,kihahtaa,give a quick hissing sound,give a quick hissing sound,kihahtaa,,,,,
21404,kihdata,english,english,kihdata,,,,,
21405,kihelmöidä,tingle,tingle,kihelmöidä,,,,,
21406,kihertää,giggle,giggle,kihertää,,,,,
21407,kihistä,bustle,bustle,kihistä,,,,,
21464,kihnuttaa,rub,rub,kihnuttaa,,,,,
21493,kiidättää,english,english,kiidättää,,,,,
21494,kiihdyttää,accelerate,accelerate,kiihdyttää,,,,,
21495,kiihkota,english,english,kiihkota,,,,,
21580,kiihtyä,get excited,get excited,kiihtyä,,,,,
21581,kiikaroida,use binoculars,use binoculars,kiikaroida,,,,,
21582,kiikastaa,be a problem,be a problem,kiikastaa,,,,,
21751,kiiltää,shine,shine,kiiltää,,,,,
21780,kiinailla,do,do,kiinailla,,,,,
21781,kiinantaa,translate into chinese,translate into chinese,kiinantaa,,,,,
21782,kiinata,live at somebodys home for,live at somebodys home for,kiinata,,,,,
21783,kiinnetä,become fixed,become fixed,kiinnetä,,,,,
21784,kiinnittyä,stick,stick,kiinnittyä,,,,,
21785,kiinnittäytyä,attach,attach,kiinnittäytyä,,,,,
21786,kiinnittää,fasten,fasten,kiinnittää,,,,,
21843,kiinteyttää,solidify,solidify,kiinteyttää,,,,,
21844,kiinteytyä,solidify,solidify,kiinteytyä,,,,,
21845,kiintiöidä,allocate quotas,allocate quotas,kiintiöidä,,,,,
21846,kiintyä,become fond,become fond,kiintyä,,,,,
21847,kiipeillä,climb,climb,kiipeillä,,,,,
21848,kiirehtiä,hasten,hasten,kiirehtiä,,,,,
21849,kiirehtää,hasten,hasten,kiirehtää,,,,,
21850,kiiriä,travel fast,travel fast,kiiriä,,,,,
21879,kiistellä,dispute,dispute,kiistellä,,,,,
21880,kiistää,deny,deny,kiistää,,,,,
21881,kiitellä,thank,thank,kiitellä,,,,,
21882,kiittää,praise,praise,kiittää,,,,,
21883,kiitää,race,race,kiitää,,,,,
21912,kiivastuttaa,make one lose temper,make one lose temper,kiivastuttaa,,,,,
21913,kiivetä,climb,climb,kiivetä,,,,,
21914,kikatella,giggle,giggle,kikatella,,,,,
21943,kikertää,do,do,kikertää,,,,,
21972,kilahdella,tingle,tingle,kilahdella,,,,,
22029,kilistä,tinkle,tinkle,kilistä,,,,,
22030,kilistää,tinkle,tinkle,kilistää,,,,,
22031,kilisyttää,english,english,kilisyttää,,,,,
22116,kilkattaa,tinkle,tinkle,kilkattaa,,,,,
22145,killittää,english,english,killittää,,,,,
22174,kilottaa,shine brightly,shine brightly,kilottaa,,,,,
22231,kilpistyä,rebound,rebound,kilpistyä,,,,,
22288,kimittää,speak with highpitched voice,speak with highpitched voice,kimittää,,,,,
22289,kimmahduttaa,english,english,kimmahduttaa,,,,,
22346,kimmastuttaa,english,english,kimmastuttaa,,,,,
22347,kimmauttaa,english,english,kimmauttaa,,,,,
22348,kimmellellä,glitter,glitter,kimmellellä,,,,,
22349,kimmeltää,glitter,glitter,kimmeltää,,,,,
22406,kimputtaa,bundle,bundle,kimputtaa,,,,,
22463,kinostaa,accumulate into drifts,accumulate into drifts,kinostaa,,,,,
22492,kinuta,do,do,kinuta,,,,,
22493,kinätä,do,do,kinätä,,,,,
22494,kipaista,go quickly over a short,go quickly over a short,kipaista,,,,,
22523,kipenöidä,do,do,kipenöidä,,,,,
22524,kipertyä,do,do,kipertyä,,,,,
22525,kipertää,do,do,kipertää,,,,,
22526,kipeyttää,english,english,kipeyttää,,,,,
22527,kipeytyä,become sore,become sore,kipeytyä,,,,,
22528,kipinöidä,sparkle,sparkle,kipinöidä,,,,,
22529,kipittää,scuttle,scuttle,kipittää,,,,,
22530,kipparoida,act as a captain,act as a captain,kipparoida,,,,,
22531,kipristyä,english,english,kipristyä,,,,,
22532,kipristää,english,english,kipristää,,,,,
22589,kipunoida,sparkle,sparkle,kipunoida,,,,,
22590,kirahtaa,english,english,kirahtaa,,,,,
22591,kiretä,do,do,kiretä,,,,,
22592,kiristyä,tighten,tighten,kiristyä,,,,,
22593,kiristää,tighten,tighten,kiristää,,,,,
22594,kirittää,english,english,kirittää,,,,,
22595,kiriä,spurt,spurt,kiriä,,,,,
22652,kirjauttaa,log in this term needs,log in this term needs,kirjauttaa,,,,,
22681,kirjavoida,english,english,kirjavoida,,,,,
22682,kirjavoittaa,do,do,kirjavoittaa,,,,,
