,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
44385,menehtyä,perish,perish,menehtyä,,,,,
44386,menestyä,succeed,succeed,menestyä,,,,,
44387,menetellä,do,do,menetellä,,,,,
44388,menettää kasvonsa,lose face,lose face,menettää kasvonsa,,,,,
44389,menettää tajuntansa,pass out,pass out,menettää tajuntansa,,,,,
44390,menettää,lose,lose,menettää,,,,,
44391,mennä hukkaan,get wasted,get wasted,mennä hukkaan,,,,,
44392,mennä kihloihin,get,get,mennä kihloihin,,,,,
44393,mennä konkurssiin,go bankrupt,go bankrupt,mennä konkurssiin,,,,,
44394,mennä lukkoon,lock,lock,mennä lukkoon,,,,,
44395,mennä läpi,go through,go through,mennä läpi,,,,,
44396,mennä manalle,pass away,pass away,mennä manalle,,,,,
44397,mennä manan majoille,pass away,pass away,mennä manan majoille,,,,,
44398,mennä myttyyn,fail,fail,mennä myttyyn,,,,,
44399,mennä mönkään,be screwed up,be screwed up,mennä mönkään,,,,,
44400,mennä naimisiin,marry,marry,mennä naimisiin,,,,,
44401,mennä nukkumaan,go to bed,go to bed,mennä nukkumaan,,,,,
44402,mennä perille,strike home,strike home,mennä perille,,,,,
44403,mennä plörinäksi,screw up,screw up,mennä plörinäksi,,,,,
44404,mennä rikki,break down,break down,mennä rikki,,,,,
44405,mennä virran mukana,go with the flow,go with the flow,mennä virran mukana,,,,,
44406,mennä,go,go,mennä,,,,,
44407,menota,english,english,menota,,,,,
44408,menstruoida,menstruate,menstruate,menstruoida,,,,,
44437,merkitä,mark,mark,merkitä,,,,,
44438,merseroida,mercerize,mercerize,merseroida,,,,,
44495,messingöidä,brass,brass,messingöidä,,,,,
44496,messuta,chant,chant,messuta,,,,,
44497,mestaroida,master,master,mestaroida,,,,,
44526,metallisoida,metallize,metallize,metallisoida,,,,,
44527,metalloida,do,do,metalloida,,,,,
44556,metelöidä,be noisy in an offensive,be noisy in an offensive,metelöidä,,,,,
44557,metsittyä,become forested,become forested,metsittyä,,,,,
44558,metsittää,forest,forest,metsittää,,,,,
44559,metsästää,hunt,hunt,metsästää,,,,,
44616,miehistyä,become manlier,become manlier,miehistyä,,,,,
44617,miehittää,man,man,miehittää,,,,,
44646,mielistellä,curry favor,curry favor,mielistellä,,,,,
44647,mieliä,wish,wish,mieliä,,,,,
44648,miellyttää,please,please,miellyttää,,,,,
44649,mieltää,perceive,perceive,mieltää,,,,,
44650,mietiskellä,meditate,meditate,mietiskellä,,,,,
44651,miettiä päänsä puhki,rack brain,rack brain,miettiä päänsä puhki,,,,,
44652,miettiä,think over,think over,miettiä,,,,,
44681,miinustaa,subtract,subtract,miinustaa,,,,,
44682,mikittää,mike,mike,mikittää,,,,,
44767,militarisoida,do,do,militarisoida,,,,,
44768,militarisoitua,become,become,militarisoitua,,,,,
44825,minimisoida,do,do,minimisoida,,,,,
44910,mitellä,compete,compete,mitellä,,,,,
44939,mitätöidä,invalidate,invalidate,mitätöidä,,,,,
44940,mitätöityä,be invalidated,be invalidated,mitätöityä,,,,,
44941,mitätöntää,do,do,mitätöntää,,,,,
44970,modernisoida,make modern,make modern,modernisoida,,,,,
44999,modernistaa,do,do,modernistaa,,,,,
45056,modifioida,modify,modify,modifioida,,,,,
45085,moduloida,modulate,modulate,moduloida,,,,,
45170,moinata,abate,abate,moinata,,,,,
45339,molskahtaa,splash,splash,molskahtaa,,,,,
45340,monentaa,multiply,multiply,monentaa,,,,,
45369,moniajaa,multitask,multitask,moniajaa,,,,,
45398,monimutkaistaa,complicate,complicate,monimutkaistaa,,,,,
45427,moninaistaa,diversify,diversify,moninaistaa,,,,,
45456,moninkertaistaa,multiply,multiply,moninkertaistaa,,,,,
45457,moninkertaistua,multiply,multiply,moninkertaistua,,,,,
45458,monipuolistaa,diversify,diversify,monipuolistaa,,,,,
45571,monoftongiutua,monophthongize,monophthongize,monoftongiutua,,,,,
45628,monopoloida,do,do,monopoloida,,,,,
45657,moottorikelkkailla,drive a snowmobile,drive a snowmobile,moottorikelkkailla,,,,,
45798,moralisoida,do,do,moralisoida,,,,,
45939,motorisoida,motorize,motorize,motorisoida,,,,,
46052,movettaa,malinger,malinger,movettaa,,,,,
46053,muhentaa,mash,mash,muhentaa,,,,,
46054,muhia,brew,brew,muhia,,,,,
46083,muikistaa,grin,grin,muikistaa,,,,,
46084,muiskauttaa,smack,smack,muiskauttaa,,,,,
46141,muistutella,remind,remind,muistutella,,,,,
46282,muksia,english,english,muksia,,,,,
46283,mukuloida,english,english,mukuloida,,,,,
46536,muodontaa,do,do,muodontaa,,,,,
46593,muodota,english,english,muodota,,,,,
46650,muonittaa,supply with food,supply with food,muonittaa,,,,,
46791,murentaa,crumble,crumble,murentaa,,,,,
46820,mureta,crumble,crumble,mureta,,,,,
46821,mureuttaa,do,do,mureuttaa,,,,,
46906,murjaista,crack,crack,murjaista,,,,,
46991,murrostaa,barricade,barricade,murrostaa,,,,,
47132,murustaa,crumble,crumble,murustaa,,,,,
47133,museoida,do,do,museoida,,,,,
47218,musisoida,perform music,perform music,musisoida,,,,,
47303,mustentaa,blacken,blacken,mustentaa,,,,,
47304,musteta,blacken,blacken,musteta,,,,,
47333,mutatoida,mutate,mutate,mutatoida,,,,,
47390,mutkistaa,complicate,complicate,mutkistaa,,,,,
47419,mutkitella,snake,snake,mutkitella,,,,,
47420,mutristaa,purse,purse,mutristaa,,,,,
47421,mutustaa,eat by chewing slowly and,eat by chewing slowly and,mutustaa,,,,,
47590,muusata,mash,mash,muusata,,,,,
47619,muutella,modify,modify,muutella,,,,,
47676,myhäillä,smile,smile,myhäillä,,,,,
47677,mykistyä,mute,mute,mykistyä,,,,,
47678,mykistää,mute,mute,mykistää,,,,,
