atopic,atooppinen
atrophic,atrofinen
attractive,attraktiivinen
audiovisual,audiovisuaalinen
aural,auditiivinen
some,augustinolainen
open,aukea
open,aukinainen
holey,aukkoinen
solid,aukoton
authorized,auktorisoitu
some,auktoritaarinen
authoritative,auktoritatiivinen
some,auktoriteettinen
some,auktoriteettisuus
trust on authorities,auktoriteettiusko
willing,aulis
sunless,auringoton
sunny,aurinkoinen
heliocentric,aurinkokeskinen
sundried,aurinkokuivattu
some,australialainen
some,australiansuomalainen
some,austroaasialainen
some,austronesialainen
authentic,autenttinen
hazy,autereinen
desolate,autio
autistic,autistinen
autocephalous,autokefaalinen
autocratic,autokraattinen
autochthonous,autoktoninen
automatic,automaattinen
autonomous,autonominen
authoritarian,autoritaarinen
authoritarian,autoritäärinen
autosomal,autosomaalinen
incorrigible,auttamaton
helpful,auttava
helpful,auttavainen
some,autuaaksitekevä
blessed,autuaallinen
blessed,autuas
happy,auvoinen
happy,auvoisa
unopened,avaamaton
avantgarde,avantgardistinen
spacious,avara
openminded,avaramielinen
spatial,avaruudellinen
marital,aviollinen
extramarital,avioton
open,avoin
some,avokaulainen
munificent,avokätinen
open,avomielinen
open,avonainen
bareheaded,avopäinen
helpful,avulias
some,avustettu
helpless,avuton
some,azerbaidžanilainen
some,azerinkielinen
some,babylonialainen
some,bagdadilainen
some,bahailainen
some,bahamalainen
some,bahamasaarelainen
some,bahrainilainen
some,baijerilainen
abacterial,bakteeriton
bacteriological,bakteriologinen
some,balilainen
some,balinkielinen
some,balkanilainen
ballistic,ballistinen
baltic,balttilainen
banal,banaali
some,bangladeshilainen
some,bangladeshiläinen
barbarous,barbaarimainen
barbaric,barbaarinen
some,barbadoslainen
baroclinic,barokliininen
baryonic,baryoninen
barycentric,barysentrinen
basaltic,basalttinen
some,baskilainen
some,baskimaalainen
some,baskinkielinen
some,batistinen
beige,beesi
some,beessi
behavioristic,behavioristinen
beige,beige
some,belgialainen
some,belgialaissyntyinen
some,belgradilainen
some,belizeläinen
benign,benigni
some,beniniläinen
gasoline driven,bensiinikäyttöinen
some,bentos
benthic,benttinen
some,bergmanilainen
some,berliiniläinen
some,bermudalainen
some,betoninen
some,betonirakenteinen
some,bhutanilainen
bibliographic,bibliografinen
bigamous,bigaaminen
bilabial,bilabiaalinen
some,bilateraali
bilateral,bilateraalinen
bilinear,bilineaarinen
trillionth,biljoonas
some,binaari
binary,binaarinen
some,binääri
binary,binäärinen
biodynamic,biodynaaminen
bioethical,bioeettinen
biogenic,biogeeninen
biographic,biografinen
biodegradable,biohajoava
biochemical,biokemiallinen
biological,biologinen
biomechanical,biomekaaninen
biometric,biometrinen
biomimetic,biomimeettinen
biotic,bioottinen
bioelectric,biosähköinen
biotechnical,biotekninen
biocompatible,bioyhteensopiva
bipolar,bipolaarinen
biramous,biraminen
some,birgittalainen
bizarre,bisarri
bisexual,biseksuaalinen
bitonal,bitonaalinen
some,bittinen
bohemian,boheemi
some,bolivialainen
some,bolsevistinen
some,bolševistinen
boreal,boreaalinen
some,bosniahertsegovinalainen
some,bosnialainen
speaking bosnian,bosniankielinen
botanic,botaaninen
some,botswanalainen
brahmin,brahmalainen
related to brazil,brasilialainen
some,bretagnelainen
some,brežneviläinen
brilliant,briljantti
brilliant cut,briljanttihiottu
brilliant,briljanttinen
some,britannialainen
some,brittiläinen
some,bruneilainen
brutal,brutaali
some,brutaalinen
some,brysseliläinen
brand new,bränikkä
some,buddhalainen
buccal,bukkaalinen
some,bulgarialainen
speaking bulgarian,bulgariankielinen
bunkerlike,bunkkerimainen
speaking buryat,burjaatinkielinen
some,burkinalainen
some,burmalainen
some,burundilainen
bureaucratic,byrokraattinen
byzantine,bysanttilainen
bohemian,böömiläinen
charming,charmantti
charming,charmikas
chic,chic
some,chileläinen
some,chippendaletyylinen
cissexual,cissukupuolinen
some,cookinsaarelainen
some,CPvammainen
dadaistic,dadaistinen
damascene,damaskolainen
some,darvinistinen
dative,datiivinen
deductive,deduktiivinen
some,defaistinen
defeatist,defaitistinen
defective,defektiivinen
defensive,defensiivinen
definite,definiittinen
definitive,definitiivinen
some,degeneroitunut
deistic,deistinen
decadent,dekadentti
deconstructive,dekonstruktiivinen
decorative,dekoratiivinen
delicate,delikaatti
demagogic,demagoginen
demented,dementoitunut
diminutive,deminutiivinen
demographic,demografinen
democratic,demokraattinen
demonic,demoninen
demonstrative,demonstratiivinen
denatured,denaturoitu
denominative,denominaalinen
dental,dentaali
depressive,depressiivinen
dermatological,dermatologinen
decimal,desimaalinen
descriptive,deskriptiivinen
despotic,despoottinen
destructive,destruktiivinen
detailed,detaljoitu
determinative,determinatiivinen
deterministic,deterministinen
deverbal,deverbaalinen
some,devonikautinen
diabetic,diabeettinen
diagnostic,diagnostinen
diagonal,diagonaalinen
diaconal,diakoninen
diacritical,diakriittinen
diachronic,diakroninen
dialectic,dialektinen
dialogical,dialoginen
diamagnetic,diamagneettinen
diastolic,diastolinen
diatonic,diatoninen
didactic,didaktinen
some,dieselkäyttöinen
differential,differentiaalinen
differentiable,differentioituva
diffuse,diffuusi
digestive,digestiivinen
digital,digitaalinen
dictatorial,diktatorinen
dimensionless,dimensioton
diminutive,diminutiivinen
dimorphic,dimorfinen
dionysian,dionyysinen
diploid,diploidi
diploid,diploidinen
diplomatic,diplomaattinen
directive,direktiivinen
disjunctive,disjunktiivinen
discontinuative,diskontinuatiivinen
discrete,diskreetti
discursive,diskursiivinen
some,dispositiivinen
dissipative,dissipatiivinen
distal,distaalinen
diuretic,diureettinen
diurnal,diurnaalinen
divergent,divergentti
some,djiboutilainen
dogmatic,dogmaattinen
doctrinal,doktrinaalinen
documentary,dokumentaarinen
documentarylike,dokumentinomainen
dominant,dominantti
some,dominicalainen
some,dominikaanilainen
some,doorilainen
stupid,dorka
dorsal,dorsaalinen
dramatic,draamallinen
draconian,drakoninen
dramatic,dramaattinen
dramaturgic,dramaturginen
drastic,drastinen
dualistic,dualistinen
successful,duurivoittoinen
dynamic,dynaaminen
dysfunctional,dysfunktionaalinen
dystrophic,dystrofinen
some,ecuadorilainen
previous,edellinen
some,edellisvuotinen
aforesaid,edellä mainittu
preceding,edeltävä
deceased,edesmennyt
some,edestakainen
some,ediacarakautinen
progressive,edistyksellinen
progressive,edistysmielinen
inexpensive,edukas
advantageous,edullinen
some,edullisempi
representative,edustava
some,edusteinen
representative,edustuksellinen
ebony,eebenpuinen
epic,eeppinen
some,eestiläinen
ethical,eetillinen
ethereal,eetterinen
ethical,eettinen
effective,efektiivinen
some,efesolainen
efferent,efferentti
egoistic,egoistinen
egocentric,egosentrinen
some,egyptiläinen
some,egyptinkielinen
egyptological,egyptologinen
conditional,ehdollinen
conditional,ehdonalainen
absolute,ehdoton
some,ehein
whole,eheä
intact,ehjä
preventive,ehkäisevä
used in the phrase entist,ehompi
genuine,ehta
generous,ehtoisa
inexhaustible,ehtymätön
some,ehyin
intact,ehyt
entire,ehytlaitainen
nonexperimental,eikokeellinen
nonnegative,einegatiivinen
unwanted,eitoivottu
nonessential,eivälttämätön
eidetic,eideettinen
some,eilinen
some,eilispäiväinen
ecological,ekologinen
econometric,ekonometrinen
economic,ekonominen
exact,eksakti
excellent,eksellentti
eccentric,eksentrinen
excessive,eksessiivinen
exhibitionistic,ekshibitionistinen
existential,eksistentiaalinen
existentialistic,eksistentialistinen
exclusive,eksklusiivinen
exogenous,eksogeeninen
exocrine,eksokriininen
exotic,eksoottinen
exothermic,eksoterminen
expansive,ekspansiivinen
experimental,eksperimentaalinen
explanatory,eksplanatiivinen
explicit,eksplisiittinen
exponential,eksponentiaalinen
expressive,ekspressiivinen
expressionistic,ekspressionistinen
ecstatic,ekstaattinen
external,eksterni
extrovert,ekstrovertti
extrusive,ekstrusiivinen
ectopic,ektooppinen
ecumenical,ekumeeninen
equivalent,ekvivalentti
equivalent,ekvivalenttinen
elastic,elastinen
expressionless,eleetön
elegant,elegantti
elegiac,eleginen
electrodynamic,elektrodynaaminen
electrolytic,elektrolyyttinen
electronic,elektroninen
elementary,elementaarinen
organic,elimellinen
some,elinikäinen
lasting for life,elinkautinen
viable,elinkelpoinen
elitist,elitistinen
elliptic,elliptinen
mercurial,elohopeapitoinen
lively,eloisa
some,elokuinen
some,elokuvajuhla
cinematic,elokuvallinen
organic,elollinen
biogenic,eloperäinen
inanimate,eloton
animal,eläimellinen
zoological,eläinopillinen
zoological,eläintieteellinen
memorable,elämyksekäs
memorable,elämyksellinen
biographical,elämäkerrallinen
some,elämänkatsomuksellinen
living impaired,elämärajoitteinen
live,elävä
lively,eläväinen
some,elävämpi
embryological,embryologinen
some,emittoiva
emotional,emotionaalinen
empathic,empaattinen
empirical,empiirinen
some,empiirityylinen
empirical,empiristinen
hesitant,empivä
alkaline,emäksinen
intravaginal,emättimensisäinen
endemic,endeeminen
endogenous,endogeeninen
endocrine,endokriininen
endocrinologic,endokrinologinen
endoscopic,endoskooppinen
endothelial,endoteelinen
endothermic,endoterminen
increasing,enenevä
energetic,energeettinen
rich in energy,energiapitoinen
energetic,energinen
anglophone,englanninkielinen
some,englantilainen
angelic,enkelimäinen
some,enkunkielinen
prejudiced,ennakkoluuloinen
openminded,ennakkoluuloton
prophylactic,ennalta ehkäisevä
unforeseeable,ennaltaarvaamaton
premature,ennenaikainen
some,ennenkokematon
unprecedented,ennenkuulumaton
unforeseen,ennennäkemätön
unpredictable,ennustamaton
prognostic,ennusteellinen
unparalleled,ennätyksellinen
some,ennätysmäinen
some,ennätyspitkä
some,ensiluokkainen
some,ensimmäinen
some,ensimmäinenkolmatta
primary,ensisijainen
some,ensyklopedinen
ominous,enteellinen
some,enterogastrinen
enterohepatic,enterohepaattinen
former,entinen
similar as before,entisenlainen
enthusiastic,entusiastinen
some,eoarkeeinen
some,eoliaaninen
eolic,eolinen
some,eoseenikautinen
epidemic,epideeminen
epidemiological,epidemiologinen
epidural,epiduraali
epicurean,epikurolainen
epileptic,epileptinen
episcopal,episkopaalinen
episodic,episodinen
false,epäaito
flippant,epäasiallinen
undemocratic,epädemokraattinen
unethical,epäeettinen
unaesthetic,epäesteettinen
some,epäeuklidinen
nonhomogeneous,epähomogeeninen
insanitary,epähygieeninen
incredulous,epäilevä
suspicious,epäileväinen
suspected,epäilty
suspect,epäiltävä
suspect,epäilyksenalainen
suspicious,epäilyttävä
inhuman,epäinhimillinen
unpatriotic,epäisänmaallinen
selfless,epäitsekäs
nonindependent,epäitsenäinen
discontinuous,epäjatkuva
inconsistent,epäjohdonmukainen
unfit,epäkelpo
ungrateful,epäkiitollinen
incoherent,epäkoherentti
some,epäkohteliaampi
impolite,epäkohtelias
uncritical,epäkriittinen
disrespectful,epäkunnioittava
undead,epäkuollut
immature,epäkypsä
impractical,epäkäytännöllinen
illiquid,epälikvidi
nonlinear,epälineaarinen
disloyal,epälojaali
illogical,epälooginen
unnatural,epäluonnollinen
unreliable,epäluotettava
suspicious,epäluuloinen
unmanly,epämiehekäs
unpleasant,epämiellyttävä
undesirable,epämieluisa
nonmodern,epämoderni
uncomfortable,epämukava
unfashionable,epämuodikas
informal,epämuodollinen
malformed,epämuodostunut
vague,epämääräinen
unwomanly,epänaisellinen
nonnegative,epänegatiivinen
abnormal,epänormaali
unjust,epäoikeudenmukainen
irrelevant,epäoleellinen
nonessential,epäolennainen
unfortunate,epäonninen
unsuccessful,epäonnistunut
inorganic,epäorgaaninen
unorthodox,epäortodoksinen
nontraditional,epäperinteinen
impure,epäpuhdas
unholy,epäpyhä
incompetent,epäpätevä
unrealistic,epärealistinen
dishonest,epärehellinen
unfair,epäreilu
irrelevant,epärelevantti
hesitant,epäröivä
asexual,epäseksuaalinen
unclear,epäselvä
unclean,epäsiisti
loose,epäsiveellinen
unchaste,epäsiveä
discordant,epäsointuinen
discordant,epäsopuinen
asocial,epäsosiaalinen
nonconformist,epäsovinnainen
unstable,epästabiili
some,epäsuomalainen
indirect,epäsuora
unfavourable,epäsuotuisa
asymmetric,epäsymmetrinen
irregular,epäsäännöllinen
some,epäsäätyinen
uneconomic,epätaloudellinen
inaccurate,epätarkka
uneven,epätasainen
unusual,epätavallinen
unconventional,epätavanomainen
unhealthy,epäterve
unhealthy,epäterveellinen
unscientific,epätieteellinen
unreal,epätodellinen
untruthful,epätodenmukainen
unlikely,epätodennäköinen
desperate,epätoivoinen
untrue,epätosi
unsafe,epäturvallinen
nonempty,epätyhjä
unsatisfactory,epätyydyttävä
imprecise,epätäsmällinen
incomplete,epätäydellinen
unsportsmanlike,epäurheilijamainen
incredulous,epäuskoinen
implausible,epäuskottava
unstable,epävakaa
unstable,epävakainen
unfree,epävapaa
insecure,epävarma
unpleasant,epäviihtyisä
unwise,epäviisas
unofficial,epävirallinen
discontinuous,epäyhtenäinen
unfriendly,epäystävällinen
erethic,ereettinen
infallible,erehtymätön
some,erehtyväinen
ergonomic,ergonominen
erroneous,erheellinen
nonsimultaneous,eriaikainen
unequal,eriarvoinen
special,erikoinen
different,erilainen
some,erilaisin
heterochlamydeous,erilaiskehäinen
unspecialized,erilaistumaton
separate,erillinen
excellent,erinomainen
particular,erinäinen
heterozygous,eriperintäinen
conflicting,eripurainen
some,eriseurainen
some,eriskummainen
bizarre,eriskummallinen
some,eristeinen
isolated,eristäytynyt
some,eritrealainen
special,erityinen
heterodox,eriuskoinen
some,eriävä
erogenous,erogeeninen
divorced,eronnut
erotic,eroottinen
some,eroottisempi
some,eroottisin
inalienable,erottamaton
eruptive,eruptiivinen
some,eräänlainen
some,esiarkeeinen
premarital,esiaviollinen
prehistoric,esihistoriallinen
preshared,esijaettu
prestressed,esijännitetty
some,esikambrinen
some,esikristillinen
exemplary,esikuvallinen
exemplary,esimerkillinen
some,esineellinen
presentational,esityksellinen
some,esitäytetty
escapist,eskapistinen
eschatological,eskatologinen
some,eskimokielinen
esoteric,esoteerinen
some,espanjalainen
some,espanjankielinen
some,esperantonkielinen
some,espoolainen
essential,essentiaalinen
challengeable,esteellinen
aesthetic,esteettinen
unobstructed,esteetön
selfconscious,estoinen
incontinent,estoton
forward,eteenpäinen
ethereal,eteerinen
south african,eteläafrikkalainen
south american,eteläamerikkalainen
south european,eteläeurooppalainen
southern,eteläinen
some,eteläisempi
south korean,eteläkorealainen
some,etelämaalainen
some,etelämainen
some,etelämpi
some,eteläpohjalainen
south slavic,eteläslaavilainen
some,eteläsuomalainen
confederate,etelävaltalainen
competent,etevä
vinegarish,etikkainen
vinegary,etikoitunut
forward,etinen
etiological,etiologinen
some,etiopialainen
ethnic,etninen
ethnographic,etnografinen
ethnological,etnologinen
ethological,etologinen
some,etruskilainen
wanted,etsintäkuulutettu
forward slanted,etukenoinen
some,etumainen
foremost,etummainen
privileged,etuoikeuksinen
some,etusijainen
some,etuvetoinen
etymological,etymologinen
remote,etäinen
euphemistic,eufemistinen
euphoric,euforinen
euclidean,euklidinen
some,euraasialainen
some,euroatlanttinen
eurocentric,eurooppakeskeinen
some,eurooppalainen
some,eurooppalaisperäinen
some,europidinen
some,euroskeptinen
eustatic,eustaattinen
eutrophic,eutrofinen
evangelical,evankelinen
evangelical lutheran,evankelisluterilainen
some,evankelisluterilainen
evident,evidentti
evolutionary,evolutiivinen
pinniped,eväjalkainen
finny,eväkäs
finny,evällinen
finny,evämäinen
factual,faktinen
factual,faktuaalinen
facultative,fakultatiivinen
some,falklandilainen
